Scientific_Name,Genus,Species 
Lappula squarrosa,Lappula,squarrosa
Lapsana communis,Lapsana,communis
Larix decidua,Larix,decidua
Larix kaempferi,Larix,kaempferi
Larix laricina,Larix,laricina
Lasthenia minor,Lasthenia,minor
Lathyrus japonicus var. maritimus,Lathyrus,japonicus
Lathyrus latifolius,Lathyrus,latifolius
Lathyrus ochroleucus,Lathyrus,ochroleucus
Lathyrus palustris,Lathyrus,palustris
Lathyrus pratensis,Lathyrus,pratensis
Lathyrus sylvestris,Lathyrus,sylvestris
Lathyrus tuberosus,Lathyrus,tuberosus
Lathyrus venosus,Lathyrus,venosus
Lavandula angustifolia,Lavandula,angustifolia
Lechea intermedia,Lechea,intermedia
Lechea maritima var. maritima,Lechea,maritima
Lechea minor,Lechea,minor
Lechea mucronata,Lechea,mucronata
Lechea pulchella,Lechea,pulchella
Lechea racemulosa,Lechea,racemulosa
Lechea tenuifolia,Lechea,tenuifolia
Leersia oryzoides,Leersia,oryzoides
Leersia virginica,Leersia,virginica
Lemna minor,Lemna,minor
Lemna perpusilla,Lemna,perpusilla
Lemna trisulca,Lemna,trisulca
Lemna turionifera,Lemna,turionifera
Lemna valdiviana,Lemna,valdiviana
Lens culinaris,Lens,culinaris
Leontodon hispidus ssp. hispidus,Leontodon,hispidus
Leontodon saxatilis ssp. saxatilis,Leontodon,saxatilis
Leonurus cardiaca,Leonurus,cardiaca
Leonurus japonicus,Leonurus,japonicus
Lepidium campestre,Lepidium,campestre
Lepidium chalepense,Lepidium,chalepense
Lepidium coronopus,Lepidium,coronopus
Lepidium densiflorum var. densiflorum,Lepidium,densiflorum
Lepidium didymum,Lepidium,didymum
Lepidium draba,Lepidium,draba
Lepidium latifolium,Lepidium,latifolium
Lepidium nitidum,Lepidium,nitidum
Lepidium perfoliatum,Lepidium,perfoliatum
Lepidium ruderale,Lepidium,ruderale
Lepidium sativum,Lepidium,sativum
Lepidium virginicum ssp. virginicum,Lepidium,virginicum
Leptochloa crinita,Leptochloa,crinita
Lespedeza angustifolia,Lespedeza,angustifolia
Lespedeza angustifolia × L. capitata,Lespedeza,angustifolia × L. capitata
Lespedeza angustifolia × L. hirta = L. ×oblongifolia,Lespedeza,angustifolia × L. hirta = L. ×oblongifolia
Lespedeza bicolor,Lespedeza,bicolor
Lespedeza capitata,Lespedeza,capitata
Lespedeza capitata × L. frutescens = L. ×manniana,Lespedeza,capitata × L. frutescens = L. ×manniana
Lespedeza capitata × L. hirta = L. ×longifolia,Lespedeza,capitata × L. hirta = L. ×longifolia
Lespedeza cuneata,Lespedeza,cuneata
Lespedeza frutescens,Lespedeza,frutescens
Lespedeza frutescens × L. hirta,Lespedeza,frutescens × L. hirta
Lespedeza hirta × L. repens,Lespedeza,hirta × L. repens
Lespedeza hirta × L. stuevei,Lespedeza,hirta × L. stuevei
Lespedeza hirta × L. violacea = L. ×nuttallii,Lespedeza,hirta × L. violacea = L. ×nuttallii
Lespedeza hirta × L. virginica,Lespedeza,hirta × L. virginica
Lespedeza hirta ssp. hirta,Lespedeza,hirta
Lespedeza procumbens,Lespedeza,procumbens
Lespedeza procumbens × L. virginica = L. ×brittonii,Lespedeza,procumbens × L. virginica = L. ×brittonii
Lespedeza repens,Lespedeza,repens
Lespedeza stuevei,Lespedeza,stuevei
Lespedeza stuevei × L. virginica = L. ×neglecta,Lespedeza,stuevei × L. virginica = L. ×neglecta
Lespedeza thunbergii,Lespedeza,thunbergii
Lespedeza violacea,Lespedeza,violacea
Lespedeza virginica,Lespedeza,virginica
Leucanthemella serotina,Leucanthemella,serotina
Leucanthemum maximum,Leucanthemum,maximum
Leucanthemum vulgare,Leucanthemum,vulgare
Leucojum aestivum,Leucojum,aestivum
Leucophysalis grandiflora,Leucophysalis,grandiflora
Leucospora multifida,Leucospora,multifida
Leucothoe fontanesiana,Leucothoe,fontanesiana
Levisticum officinale,Levisticum,officinale
Leymus arenarius,Leymus,arenarius
Liatris aspera,Liatris,aspera
Liatris cylindracea,Liatris,cylindracea
Liatris pycnostachya var. pycnostachya,Liatris,pycnostachya
Liatris scariosa,Liatris,scariosa
Liatris scariosa var. nieuwlandii,Liatris,scariosa
Liatris scariosa var. novae-angliae,Liatris,scariosa
Liatris spicata var. spicata,Liatris,spicata
Ligusticum scoticum ssp. scoticum,Ligusticum,scoticum
Ligustrum obtusifolium,Ligustrum,obtusifolium
Ligustrum obtusifolium var. obtusifolium,Ligustrum,obtusifolium
Ligustrum obtusifolium var. suave,Ligustrum,obtusifolium
Ligustrum ovalifolium,Ligustrum,ovalifolium
Ligustrum vulgare,Ligustrum,vulgare
Lilaeopsis chinensis,Lilaeopsis,chinensis
Lilium canadense,Lilium,canadense
Lilium canadense × L. michiganense,Lilium,canadense × L. michiganense
Lilium lancifolium,Lilium,lancifolium
Lilium michiganense,Lilium,michiganense
Lilium philadelphicum,Lilium,philadelphicum
Lilium superbum,Lilium,superbum
Limnobium spongia,Limnobium,spongia
Limonium carolinianum,Limonium,carolinianum
Limonium leptostachyum,Limonium,leptostachyum
Limosella australis,Limosella,australis
Linaria canadensis,Linaria,canadensis
Linaria dalmatica ssp. dalmatica,Linaria,dalmatica
Linaria genistifolia ssp. genistifolia,Linaria,genistifolia
Linaria maroccana,Linaria,maroccana
Linaria repens,Linaria,repens
Linaria supina ssp. supina,Linaria,supina
Linaria vulgaris,Linaria,vulgaris
Lindera benzoin,Lindera,benzoin
Lindernia dubia,Lindernia,dubia
Lindernia dubia var. anagallidea,Lindernia,dubia
Lindernia dubia var. dubia,Lindernia,dubia
Linnaea borealis ssp. longiflora,Linnaea,borealis
Linum catharticum,Linum,catharticum
Linum grandiflorum,Linum,grandiflorum
Linum intercursum,Linum,intercursum
Linum medium var. texanum,Linum,medium
Linum perenne,Linum,perenne
Linum striatum,Linum,striatum
Linum sulcatum,Linum,sulcatum
Linum usitatissimum,Linum,usitatissimum
Linum virginianum,Linum,virginianum
Lipandra polysperma,Lipandra,polysperma
Lipandra polysperma var. acutifolia,Lipandra,polysperma
Lipandra polysperma var. polysperma,Lipandra,polysperma
Liparis liliifolia,Liparis,liliifolia
Liparis loeselii,Liparis,loeselii
Liquidambar styraciflua,Liquidambar,styraciflua
Liriodendron tulipifera,Liriodendron,tulipifera
Lithospermum croceum,Lithospermum,croceum
Lithospermum latifolium,Lithospermum,latifolium
Lithospermum officinale,Lithospermum,officinale
Lithospermum parviflorum,Lithospermum,parviflorum
Lithospermum virginianum,Lithospermum,virginianum
Littorella americana,Littorella,americana
Lobelia cardinalis,Lobelia,cardinalis
Lobelia dortmanna,Lobelia,dortmanna
Lobelia inflata,Lobelia,inflata
Lobelia kalmii,Lobelia,kalmii
Lobelia nuttallii,Lobelia,nuttallii
Lobelia siphilitica var. siphilitica,Lobelia,siphilitica
Lobelia spicata,Lobelia,spicata
Lobelia spicata var. hirtella,Lobelia,spicata
Lobelia spicata var. spicata,Lobelia,spicata
Lobularia maritima,Lobularia,maritima
Logfia minima,Logfia,minima
Lolium perenne,Lolium,perenne
Lolium perenne × S. pratensis = ×Schedolium loliaceum,Lolium,perenne × S. pratensis = ×Schedolium loliaceum
Lolium perenne ssp. multiflorum,Lolium,perenne
Lolium perenne ssp. perenne,Lolium,perenne
Lolium persicum,Lolium,persicum
Lolium temulentum ssp. temulentum,Lolium,temulentum
Lonicera canadensis,Lonicera,canadensis
Lonicera caprifolium × L. etrusca = L. ×italica,Lonicera,caprifolium × L. etrusca = L. ×italica
Lonicera dioica,Lonicera,dioica
Lonicera fragrantissima,Lonicera,fragrantissima
Lonicera hirsuta,Lonicera,hirsuta
Lonicera japonica,Lonicera,japonica
Lonicera maackii,Lonicera,maackii
Lonicera morrowii,Lonicera,morrowii
Lonicera morrowii × L. tatarica = L. ×bella,Lonicera,morrowii × L. tatarica = L. ×bella
Lonicera oblongifolia,Lonicera,oblongifolia
Lonicera reticulata,Lonicera,reticulata
Lonicera ruprechtiana × L. tatarica = L. ×notha,Lonicera,ruprechtiana × L. tatarica = L. ×notha
Lonicera sempervirens,Lonicera,sempervirens
Lonicera tatarica,Lonicera,tatarica
Lonicera villosa,Lonicera,villosa
Lonicera xylosteum,Lonicera,xylosteum
Lorinseria areolata,Lorinseria,areolata
Lotus corniculatus,Lotus,corniculatus
Lotus tenuis,Lotus,tenuis
Ludwigia alternifolia,Ludwigia,alternifolia
Ludwigia hexapetala,Ludwigia,hexapetala
Ludwigia palustris,Ludwigia,palustris
Ludwigia peploides ssp. glabrescens,Ludwigia,peploides
Ludwigia polycarpa,Ludwigia,polycarpa
Ludwigia sphaerocarpa,Ludwigia,sphaerocarpa
Lunaria annua,Lunaria,annua
Lupinus perennis ssp. perennis,Lupinus,perennis
Lupinus polyphyllus var. polyphyllus,Lupinus,polyphyllus
Luzula acuminata var. acuminata,Luzula,acuminata
Luzula bulbosa,Luzula,bulbosa
Luzula campestris,Luzula,campestris
Luzula echinata,Luzula,echinata
Luzula luzuloides ssp. luzuloides,Luzula,luzuloides
Luzula multiflora ssp. multiflora,Luzula,multiflora
Luzula pallescens,Luzula,pallescens
Luzula parviflora ssp. melanocarpa,Luzula,parviflora
Luzula spicata ssp. spicata,Luzula,spicata
Lychnis chalcedonica,Lychnis,chalcedonica
Lychnis coronaria,Lychnis,coronaria
Lychnis flos-cuculi ssp. flos-cuculi,Lychnis,flos-cuculi
Lycium barbarum,Lycium,barbarum
Lycium chinense,Lycium,chinense
Lycopodiella alopecuroides,Lycopodiella,alopecuroides
Lycopodiella alopecuroides × L. appressa = L. ×copelandii,Lycopodiella,alopecuroides × L. appressa = L. ×copelandii
Lycopodiella appressa,Lycopodiella,appressa
Lycopodiella appressa × L. inundata = L. ×gilmanii,Lycopodiella,appressa × L. inundata = L. ×gilmanii
Lycopodiella inundata,Lycopodiella,inundata
Lycopodium clavatum,Lycopodium,clavatum
Lycopodium lagopus,Lycopodium,lagopus
Lycopus americanus,Lycopus,americanus
Lycopus americanus ssp. americanus,Lycopus,americanus
Lycopus americanus ssp. laurentianus,Lycopus,americanus
Lycopus amplectens,Lycopus,amplectens
Lycopus asper,Lycopus,asper
Lycopus europaeus,Lycopus,europaeus
Lycopus rubellus,Lycopus,rubellus
Lycopus uniflorus,Lycopus,uniflorus
Lycopus uniflorus × L. virginicus = L. ×sherardii,Lycopus,uniflorus × L. virginicus = L. ×sherardii
Lycopus virginicus,Lycopus,virginicus
Lygodium palmatum,Lygodium,palmatum
Lyonia ligustrina var. ligustrina,Lyonia,ligustrina
Lyonia mariana,Lyonia,mariana
Lysimachia arvensis,Lysimachia,arvensis
Lysimachia borealis,Lysimachia,borealis
Lysimachia ciliata,Lysimachia,ciliata
Lysimachia clethroides,Lysimachia,clethroides
Lysimachia hybrida,Lysimachia,hybrida
Lysimachia nummularia,Lysimachia,nummularia
Lysimachia punctata,Lysimachia,punctata
Lysimachia quadriflora,Lysimachia,quadriflora
Lysimachia quadrifolia,Lysimachia,quadrifolia
Lysimachia quadrifolia × L. terrestris = L. ×producta,Lysimachia,quadrifolia × L. terrestris = L. ×producta
Lysimachia terrestris,Lysimachia,terrestris
Lysimachia terrestris × L. thyrsiflora,Lysimachia,terrestris × L. thyrsiflora
Lysimachia thyrsiflora,Lysimachia,thyrsiflora
Lysimachia vulgaris,Lysimachia,vulgaris
Lythrum alatum var. alatum,Lythrum,alatum
Lythrum hyssopifolia,Lythrum,hyssopifolia
Lythrum lineare,Lythrum,lineare
Lythrum salicaria,Lythrum,salicaria
Machaeranthera tanacetifolia,Machaeranthera,tanacetifolia
Macleaya cordata,Macleaya,cordata
Maclura pomifera,Maclura,pomifera
Madia glomerata,Madia,glomerata
Madia sativa,Madia,sativa
Magnolia acuminata,Magnolia,acuminata
Magnolia denudata × M. liliiflora = M. ×soulangeana,Magnolia,denudata × M. liliiflora = M. ×soulangeana
Magnolia fraseri,Magnolia,fraseri
Magnolia kobus,Magnolia,kobus
Magnolia macrophylla,Magnolia,macrophylla
Magnolia tripetala,Magnolia,tripetala
Magnolia virginiana var. virginiana,Magnolia,virginiana
Maianthemum canadense,Maianthemum,canadense
Maianthemum racemosum,Maianthemum,racemosum
Maianthemum stellatum,Maianthemum,stellatum
Maianthemum trifolium,Maianthemum,trifolium
Malaxis bayardii,Malaxis,bayardii
Malaxis monophyllos var. brachypoda,Malaxis,monophyllos
Malaxis unifolia,Malaxis,unifolia
Malus baccata,Malus,baccata
Malus coronaria,Malus,coronaria
Malus domestica,Malus,domestica
Malus floribunda,Malus,floribunda
Malus hupehensis,Malus,hupehensis
Malus prunifolia,Malus,prunifolia
Malus toringo,Malus,toringo
Malva alcea,Malva,alcea
Malva moschata,Malva,moschata
Malva neglecta,Malva,neglecta
Malva pusilla,Malva,pusilla
Malva setigera,Malva,setigera
Malva sylvestris,Malva,sylvestris
Malva verticillata,Malva,verticillata
Marrubium peregrinum,Marrubium,peregrinum
Marrubium vulgare,Marrubium,vulgare
Marsilea quadrifolia,Marsilea,quadrifolia
Matricaria chamomilla,Matricaria,chamomilla
Matricaria discoidea,Matricaria,discoidea
Matteuccia struthiopteris var. pensylvanica,Matteuccia,struthiopteris
Mazus miquelii,Mazus,miquelii
Mazus pumilus,Mazus,pumilus
Medeola virginiana,Medeola,virginiana
Medicago arabica,Medicago,arabica
Medicago falcata,Medicago,falcata
Medicago falcata × M. sativa = M. ×varia,Medicago,falcata × M. sativa = M. ×varia
Medicago lupulina,Medicago,lupulina
Medicago minima,Medicago,minima
Medicago polymorpha,Medicago,polymorpha
Medicago sativa,Medicago,sativa
Melampyrum lineare,Melampyrum,lineare
Melanthium hybridum,Melanthium,hybridum
Melanthium virginicum,Melanthium,virginicum
Melilotus albus,Melilotus,albus
Melilotus altissimus,Melilotus,altissimus
Melilotus indicus,Melilotus,indicus
Melilotus officinalis,Melilotus,officinalis
Melissa officinalis,Melissa,officinalis
Melochia corchorifolia,Melochia,corchorifolia
Menispermum canadense,Menispermum,canadense
Mentha aquatica,Mentha,aquatica
Mentha aquatica × M. spicata = M. ×piperita,Mentha,aquatica × M. spicata = M. ×piperita
Mentha aquatica var. aquatica,Mentha,aquatica
Mentha aquatica var. citrata,Mentha,aquatica
Mentha arvensis,Mentha,arvensis
Mentha arvensis × M. spicata = M. ×gracilis,Mentha,arvensis × M. spicata = M. ×gracilis
Mentha canadensis,Mentha,canadensis
Mentha longifolia,Mentha,longifolia
Mentha longifolia × M. suaveolens = M. ×rotundifolia,Mentha,longifolia × M. suaveolens = M. ×rotundifolia
Mentha pulegium,Mentha,pulegium
Mentha spicata ssp. spicata,Mentha,spicata
Menyanthes trifoliata,Menyanthes,trifoliata
Mercurialis annua,Mercurialis,annua
Mercurialis perennis,Mercurialis,perennis
Mertensia virginica,Mertensia,virginica
Micranthemum micranthemoides,Micranthemum,micranthemoides
Micranthes pensylvanica,Micranthes,pensylvanica
Micranthes virginiensis,Micranthes,virginiensis
Microstegium vimineum,Microstegium,vimineum
Microsteris gracilis,Microsteris,gracilis
Microsteris gracilis var. gracilis,Microsteris,gracilis
Microsteris gracilis var. humilior,Microsteris,gracilis
Microthlaspi perfoliatum,Microthlaspi,perfoliatum
Mikania scandens,Mikania,scandens
Milium effusum var. cisatlanticum,Milium,effusum
Mimulus alatus,Mimulus,alatus
Mimulus ringens,Mimulus,ringens
Mirabilis albida,Mirabilis,albida
Mirabilis jalapa,Mirabilis,jalapa
Mirabilis linearis var. linearis,Mirabilis,linearis
Mirabilis nyctaginea,Mirabilis,nyctaginea
Miscanthus sacchariflorus,Miscanthus,sacchariflorus
Miscanthus sinensis,Miscanthus,sinensis
Misopates orontium,Misopates,orontium
Mitchella repens,Mitchella,repens
Mitella diphylla,Mitella,diphylla
Mitella diphylla × M. nuda = M. ×prostrata,Mitella,diphylla × M. nuda = M. ×prostrata
Mitella nuda,Mitella,nuda
Moehringia lateriflora,Moehringia,lateriflora
Molinia caerulea,Molinia,caerulea
Mollugo verticillata,Mollugo,verticillata
Moluccella laevis,Moluccella,laevis
Monarda clinopodia,Monarda,clinopodia
Monarda didyma,Monarda,didyma
Monarda fistulosa,Monarda,fistulosa
Monarda fistulosa var. fistulosa,Monarda,fistulosa
Monarda fistulosa var. mollis,Monarda,fistulosa
Monarda fistulosa var. rubra,Monarda,fistulosa
Monarda media,Monarda,media
Monarda punctata,Monarda,punctata
Monarda punctata var. punctata,Monarda,punctata
Monarda punctata var. villicaulis,Monarda,punctata
Moneses uniflora,Moneses,uniflora
Mononeuria caroliniana,Mononeuria,caroliniana
Mononeuria glabra,Mononeuria,glabra
Mononeuria groenlandica,Mononeuria,groenlandica
Monotropa uniflora,Monotropa,uniflora
Morella caroliniensis,Morella,caroliniensis
Morus alba,Morus,alba
Morus rubra,Morus,rubra
Muhlenbergia asperifolia,Muhlenbergia,asperifolia
Muhlenbergia capillaris,Muhlenbergia,capillaris
Muhlenbergia frondosa,Muhlenbergia,frondosa
Muhlenbergia frondosa × M. schreberi = M. ×curtisetosa,Muhlenbergia,frondosa × M. schreberi = M. ×curtisetosa
Muhlenbergia glomerata,Muhlenbergia,glomerata
Muhlenbergia mexicana,Muhlenbergia,mexicana
Muhlenbergia schreberi,Muhlenbergia,schreberi
Muhlenbergia sobolifera,Muhlenbergia,sobolifera
Muhlenbergia sylvatica,Muhlenbergia,sylvatica
Muhlenbergia tenuiflora,Muhlenbergia,tenuiflora
Muhlenbergia uniflora,Muhlenbergia,uniflora
Mummenhoffia alliacea,Mummenhoffia,alliacea
Murdannia nudiflora,Murdannia,nudiflora
Muscari botryoides,Muscari,botryoides
Muscari neglectum,Muscari,neglectum
Mycelis muralis,Mycelis,muralis
Myosotis arvensis,Myosotis,arvensis
Myosotis discolor,Myosotis,discolor
Myosotis laxa,Myosotis,laxa
Myosotis scorpioides,Myosotis,scorpioides
Myosotis stricta,Myosotis,stricta
Myosotis sylvatica,Myosotis,sylvatica
Myosotis verna,Myosotis,verna
Myosurus minimus,Myosurus,minimus
Myrica gale,Myrica,gale
Myriophyllum alterniflorum,Myriophyllum,alterniflorum
Myriophyllum aquaticum,Myriophyllum,aquaticum
Myriophyllum farwellii,Myriophyllum,farwellii
Myriophyllum heterophyllum,Myriophyllum,heterophyllum
Myriophyllum humile,Myriophyllum,humile
Myriophyllum pinnatum,Myriophyllum,pinnatum
Myriophyllum sibiricum,Myriophyllum,sibiricum
Myriophyllum spicatum,Myriophyllum,spicatum
Myriophyllum tenellum,Myriophyllum,tenellum
Myriophyllum verticillatum,Myriophyllum,verticillatum
Myriopteris lanosa,Myriopteris,lanosa
Myrrhis odorata,Myrrhis,odorata
Nabalus albus,Nabalus,albus
Nabalus altissimus,Nabalus,altissimus
Nabalus boottii,Nabalus,boottii
Nabalus crepidineus,Nabalus,crepidineus
Nabalus racemosus,Nabalus,racemosus
Nabalus racemosus × N. trifoliolatus = N. ×mainensis,Nabalus,racemosus × N. trifoliolatus = N. ×mainensis
Nabalus serpentarius,Nabalus,serpentarius
Nabalus trifoliolatus,Nabalus,trifoliolatus
Najas canadensis,Najas,canadensis
Najas flexilis,Najas,flexilis
Najas gracillima,Najas,gracillima
Najas guadalupensis,Najas,guadalupensis
Najas marina,Najas,marina
Najas minor,Najas,minor
Najas muenscheri,Najas,muenscheri
Najas olivacea,Najas,olivacea
Narcissus poeticus,Narcissus,poeticus
Narcissus poeticus × N. pseudonarcissus = N. ×incomparabilis,Narcissus,poeticus × N. pseudonarcissus = N. ×incomparabilis
Narcissus pseudonarcissus,Narcissus,pseudonarcissus
Nardus stricta,Nardus,stricta
Nassella viridula,Nassella,viridula
Nasturtium microphyllum,Nasturtium,microphyllum
Nasturtium microphyllum × N. officinale = N. ×sterile,Nasturtium,microphyllum × N. officinale = N. ×sterile
Nasturtium officinale,Nasturtium,officinale
Nelumbo lutea,Nelumbo,lutea
Neottia auriculata,Neottia,auriculata
Neottia bifolia,Neottia,bifolia
Neottia convallarioides,Neottia,convallarioides
Neottia cordata var. cordata,Neottia,cordata
Nepeta cataria,Nepeta,cataria
Nepeta grandiflora,Nepeta,grandiflora
Nepeta racemosa,Nepeta,racemosa
Neslia paniculata,Neslia,paniculata
Nicandra physalodes,Nicandra,physalodes
Nicotiana acuminata var. multiflora,Nicotiana,acuminata
Nicotiana alata,Nicotiana,alata
Nicotiana rustica,Nicotiana,rustica
Nicotiana sylvestris,Nicotiana,sylvestris
Nicotiana tabacum,Nicotiana,tabacum
Nigella damascena,Nigella,damascena
Nipponanthemum nipponicum,Nipponanthemum,nipponicum
Nonea lutea,Nonea,lutea
Nuphar advena ssp. advena,Nuphar,advena
Nuphar microphylla,Nuphar,microphylla
Nuphar microphylla × N. variegata = N. ×rubrodisca,Nuphar,microphylla × N. variegata = N. ×rubrodisca
Nuphar variegata,Nuphar,variegata
Nymphaea odorata,Nymphaea,odorata
Nymphaea odorata ssp. odorata,Nymphaea,odorata
Nymphaea odorata ssp. tuberosa,Nymphaea,odorata
Nymphoides cordata,Nymphoides,cordata
Nymphoides peltata,Nymphoides,peltata
Nyssa sylvatica,Nyssa,sylvatica
Ocimum basilicum,Ocimum,basilicum
Oclemena acuminata,Oclemena,acuminata
Oclemena acuminata × O. nemoralis = O. ×blakei,Oclemena,acuminata × O. nemoralis = O. ×blakei
Oclemena nemoralis,Oclemena,nemoralis
Odontites vernus ssp. serotinus,Odontites,vernus
Oenothera albicaulis,Oenothera,albicaulis
Oenothera biennis,Oenothera,biennis
Oenothera clelandii,Oenothera,clelandii
Oenothera fruticosa,Oenothera,fruticosa
Oenothera fruticosa ssp. fruticosa,Oenothera,fruticosa
Oenothera fruticosa ssp. tetragona,Oenothera,fruticosa
Oenothera gaura,Oenothera,gaura
Oenothera glazioviana,Oenothera,glazioviana
Oenothera grandis,Oenothera,grandis
Oenothera laciniata,Oenothera,laciniata
Oenothera nutans,Oenothera,nutans
Oenothera oakesiana,Oenothera,oakesiana
Oenothera parviflora,Oenothera,parviflora
Oenothera perennis,Oenothera,perennis
Oenothera pilosella ssp. pilosella,Oenothera,pilosella
Oenothera suffrutescens,Oenothera,suffrutescens
Oenothera triloba,Oenothera,triloba
Oenothera villosa ssp. villosa,Oenothera,villosa
Omalotheca sylvatica,Omalotheca,sylvatica
Onobrychis viciifolia,Onobrychis,viciifolia
Onoclea sensibilis,Onoclea,sensibilis
Ononis repens,Ononis,repens
Ononis spinosa,Ononis,spinosa
Onopordum acanthium ssp. acanthium,Onopordum,acanthium
Ophioglossum pusillum,Ophioglossum,pusillum
Opuntia cespitosa,Opuntia,cespitosa
Opuntia humifusa,Opuntia,humifusa
Oreojuncus trifidus,Oreojuncus,trifidus
Origanum vulgare,Origanum,vulgare
Ornithogalum nutans,Ornithogalum,nutans
Ornithogalum umbellatum,Ornithogalum,umbellatum
Ornithopus sativus,Ornithopus,sativus
Orobanche minor,Orobanche,minor
Orontium aquaticum,Orontium,aquaticum
Orthilia secunda,Orthilia,secunda
Orthocarpus bracteosus,Orthocarpus,bracteosus
Oryzopsis asperifolia,Oryzopsis,asperifolia
Oshuna crassipes,Oshuna,crassipes
Osmanthus heterophyllus,Osmanthus,heterophyllus
Osmorhiza claytonii,Osmorhiza,claytonii
Osmorhiza longistylis,Osmorhiza,longistylis
Osmunda claytoniana,Osmunda,claytoniana
Osmunda regalis var. spectabilis,Osmunda,regalis
Osmundastrum cinnamomeum var. cinnamomeum,Osmundastrum,cinnamomeum
Ostrya virginiana,Ostrya,virginiana
Oxalis corniculata,Oxalis,corniculata
Oxalis dillenii,Oxalis,dillenii
Oxalis florida,Oxalis,florida
Oxalis montana,Oxalis,montana
Oxalis stricta,Oxalis,stricta
Oxalis violacea,Oxalis,violacea
Oxybasis chenopodioides,Oxybasis,chenopodioides
Oxybasis glauca ssp. glauca,Oxybasis,glauca
Oxybasis rubra var. rubra,Oxybasis,rubra
Oxybasis urbica,Oxybasis,urbica
Oxydendrum arboreum,Oxydendrum,arboreum
Oxypolis rigidior,Oxypolis,rigidior
Pachysandra terminalis,Pachysandra,terminalis
Packera anonyma,Packera,anonyma
Packera aurea,Packera,aurea
Packera aurea × P. obovata,Packera,aurea × P. obovata
Packera obovata,Packera,obovata
Packera paupercula var. paupercula,Packera,paupercula
Packera schweinitziana,Packera,schweinitziana
Paeonia lactiflora,Paeonia,lactiflora
Palustricodon aparinoides,Palustricodon,aparinoides
Panax quinquefolius,Panax,quinquefolius
Panax trifolius,Panax,trifolius
Panicum amarum,Panicum,amarum
Panicum amarum ssp. amarulum,Panicum,amarum
Panicum amarum ssp. amarum,Panicum,amarum
Panicum capillare ssp. capillare,Panicum,capillare
Panicum dichotomiflorum,Panicum,dichotomiflorum
Panicum dichotomiflorum ssp. dichotomiflorum,Panicum,dichotomiflorum
Panicum dichotomiflorum ssp. puritanorum,Panicum,dichotomiflorum
Panicum flexile,Panicum,flexile
Panicum miliaceum ssp. miliaceum,Panicum,miliaceum
Panicum philadelphicum,Panicum,philadelphicum
Panicum philadelphicum ssp. gattingeri,Panicum,philadelphicum
Panicum philadelphicum ssp. philadelphicum,Panicum,philadelphicum
Panicum tuckermanii,Panicum,tuckermanii
Panicum virgatum,Panicum,virgatum
Papaver argemone,Papaver,argemone
Papaver dubium,Papaver,dubium
Papaver orientale,Papaver,orientale
Papaver rhoeas,Papaver,rhoeas
Papaver somniferum,Papaver,somniferum
Pappophorum pappiferum,Pappophorum,pappiferum
Pappophorum vaginatum,Pappophorum,vaginatum
Parietaria judaica,Parietaria,judaica
Parietaria pensylvanica,Parietaria,pensylvanica
Parnassia glauca,Parnassia,glauca
Parnassia palustris,Parnassia,palustris
Parogonum ciliinode,Parogonum,ciliinode
Paronychia baldwinii,Paronychia,baldwinii
Paronychia canadensis,Paronychia,canadensis
Paronychia fastigiata,Paronychia,fastigiata
Paronychia fastigiata var. fastigiata,Paronychia,fastigiata
Paronychia fastigiata var. nuttallii,Paronychia,fastigiata
Parthenium hysterophorus,Parthenium,hysterophorus
Parthenium integrifolium var. integrifolium,Parthenium,integrifolium
Parthenocissus inserta,Parthenocissus,inserta
Parthenocissus quinquefolia,Parthenocissus,quinquefolia
Parthenocissus tricuspidata,Parthenocissus,tricuspidata
Pascopyrum smithii,Pascopyrum,smithii
Paspalum laeve,Paspalum,laeve
Paspalum setaceum,Paspalum,setaceum
Paspalum setaceum var. muhlenbergii,Paspalum,setaceum
Paspalum setaceum var. psammophilum,Paspalum,setaceum
Paspalum setaceum var. setaceum,Paspalum,setaceum
Passiflora lutea,Passiflora,lutea
Pastinaca sativa,Pastinaca,sativa
Patis racemosa,Patis,racemosa
Paulownia tomentosa,Paulownia,tomentosa
Pedicularis canadensis,Pedicularis,canadensis
Pedicularis lanceolata,Pedicularis,lanceolata
Pellaea atropurpurea,Pellaea,atropurpurea
Pellaea glabella ssp. glabella,Pellaea,glabella
Peltandra virginica,Peltandra,virginica
Penstemon calycosus,Penstemon,calycosus
Penstemon digitalis,Penstemon,digitalis
Penstemon hirsutus,Penstemon,hirsutus
Penstemon pallidus,Penstemon,pallidus
Penstemon tubaeflorus,Penstemon,tubaeflorus
Penthorum sedoides,Penthorum,sedoides
Perilla frutescens,Perilla,frutescens
Perilla frutescens var. crispa,Perilla,frutescens
Perilla frutescens var. frutescens,Perilla,frutescens
Periploca graeca,Periploca,graeca
Peritoma serrulata,Peritoma,serrulata
Persea americana,Persea,americana
Persicaria amphibia ssp. laevimarginata,Persicaria,amphibia
Persicaria arifolia,Persicaria,arifolia
Persicaria careyi,Persicaria,careyi
Persicaria coccinea,Persicaria,coccinea
Persicaria extremiorientalis,Persicaria,extremiorientalis
Persicaria filiformis,Persicaria,filiformis
Persicaria hydropiper,Persicaria,hydropiper
Persicaria hydropiperoides,Persicaria,hydropiperoides
Persicaria lapathifolia,Persicaria,lapathifolia
Persicaria longiseta,Persicaria,longiseta
